ecotype_id,1348_Resistance_Nc14_combined,1365_telomere_length,1529_dtb.swede.NV,1530_dtb.swede.8W,1531_dtb.swede.12W,1595_GS_cov,1596_GS_fc,161_Germ_10,162_Germ_16,163_Germ_22,164_Width_10,165_Width_16,166_Width_22,167_Chlorosis_10,170_Anthocyanin_10,173_Leaf_serr_10,176_Leaf_roll_10,2052_germ_284_t0,2053_germ_284_t7,2054_germ_284_t21,2056_germ_284_t105,2071_EndoPoly_allMedian,264_Cotol_survival,266_Cotol_damage,314_DTF1stSpAverage2009,315_DTF2ndSpAverage2009,316_DTF1stSwAverage2009,317_DTF2ndSwAverage2009,318_size1stSpAverage2009,319_size2ndSpAverage2009,320_size1stSwAverage2009,321_size2ndSwAverage2009,322_area1stSwAverage2009,323_area2ndSwAverage2009,332_Yield1stSpAverage2009,5_FT10,6_FT16,7_FT22,80_LN10
7107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.6667,32.5,25.6667,23.25,5.075,4.125,3.15,2.975,19970.5,7479,0.3045,NA,NA,NA,NA
7125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.5,100.25,89.5,158,11.3,9.6,13.3,NA,23086.5,16957,0.0725,NA,NA,NA,NA
7130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7143,NA,NA,NA,NA,NA,NA,NA,16,4,4,NA,7.5,7,0,1,1,0,NA,NA,NA,NA,NA,0,1.5,62.5,34,32,38.75,8.675,4.8,3.725,2.6,16289,7705.5,0.2985,64,37,28.7,NA
7162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7163,NA,4455,NA,NA,NA,NA,NA,8,4,3,NA,7.1,6,0,1,1,1,NA,NA,NA,NA,NA,0,1.5,51.75,28.75,29,20.5,8.5,3.725,3,3.625,22245.5,16242.5,0.2515,57,39,27.8,NA
7164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.25,116,75.5,74,14.675,15.2,17.225,16.625,18449,15683.5,NA,NA,NA,NA,NA
7165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.3333,45.25,31,28,11.975,10.975,4.6,3.925,19748,11677.5,0.2475,NA,NA,NA,NA
7166,NA,NA,NA,NA,NA,NA,NA,NA,5,4,NA,6.4,9.7,0,1,1,0,NA,NA,NA,NA,NA,0,1.5,72.75,57,42,44,10.15,11.575,6.3,8.7,25270.5,9132,0.115,65.5,74,83.3,NA
7169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.5,79.5,63.75,61.5,12.25,13.6,14.275,14.55,22760.5,15664,0.0595,NA,NA,NA,NA
7174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.25,71.3333,63.3333,128.25,14.15,10.375,13.25,11.4,9699.5,1102.5,0.071,NA,NA,NA,NA
7183,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.48493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,50.5,63,13
7199,NA,NA,NA,NA,NA,NA,NA,6,4,4,NA,7.4,6.3,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,59.5,32.5,29.25,23.5,7.4,4.8,3.7,3.625,27091.5,12865,0.3625,49,37.5,32.8,NA
7203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7206,NA,NA,NA,NA,NA,NA,NA,6,4,4,NA,7.5,4.8,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,60.75,33.75,28,22.25,10.05,4.675,3.425,3.25,21731,8328,0.3705,44,NA,25,NA
7208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7244,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,7,7,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,56.75,42.25,29.5,25.25,8.525,5.8,3.775,2.825,19989.5,7710.5,NA,58,37.25,30,NA
7252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.75,132.5,113.75,171,14.475,13.25,13.675,NA,13487,14377,NA,NA,NA,NA,NA
7255,NA,8628,NA,NA,NA,NA,NA,NA,4,5,NA,5.2,7.6,0,1,1,1,NA,NA,NA,NA,NA,0,1.5,59.5,35.25,27.25,26.3333,9.2,5.9,2.875,3.575,13659.5,11685,0.302,46,35.5,30,NA
7276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.75,45.75,32.5,27.75,8.85,6.975,5,3.275,28848.5,8759,0.2265,NA,NA,NA,NA
7280,NA,NA,NA,NA,NA,NA,NA,NA,3.5,3.5,NA,6.2,12,0,1,0,1,NA,NA,NA,NA,NA,0,1.5,64.5,45.25,35,29,10.775,8.625,5.075,4.4,11770,16044,0.238,59,49.25,40,NA
7287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.75,41.5,31.5,26,9.85,8,4.55,3.425,23159.5,12403.5,0.3145,NA,NA,NA,NA
7293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.5,59,50,50.3333,40,13.3,11.975,15.125,11.3,15957,13595,0.3425,61,NA,NA,NA
7305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,43.25,29.25,25.3333,15.575,10.275,4.15,2.9,19481.5,12537.5,0.2485,NA,NA,NA,NA
7306,NA,2857,NA,NA,NA,NA,NA,6,5,NA,NA,8,5.1,0,1,1,1,NA,NA,NA,NA,1.23976,0,1.5,69.75,49,35.25,32.75,10.1,7.675,5.575,5.3,28541.5,13685.5,0.2775,60,50.25,67,NA
7314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7316,NA,NA,NA,NA,NA,NA,NA,6,5,NA,NA,8.1,NA,0,1,1,0,NA,NA,NA,NA,NA,0,1.5,85,85.25,69.25,120.25,12.85,8.725,13.95,10.55,16952.5,13033.5,0.1065,98,134.75,NA,NA
7318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7320,NA,NA,NA,NA,NA,NA,NA,6,5,NA,NA,5.7,NA,0,0,1,1,NA,NA,NA,NA,NA,0,1.5,76.5,63,53.75,62.75,11.8,10.25,9.2,9.8,18446,9113.5,0.2465,87,77.75,NA,NA
7332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7333,NA,NA,NA,NA,NA,NA,NA,6,3,2,NA,10.5,8,0,1,1,1,NA,NA,NA,NA,NA,0,1.5,58.5,29.75,26,23,9.675,4.675,3.875,3.9,15817,NA,0.217,50,34.25,28,NA
7337,NA,NA,NA,NA,NA,NA,NA,6,4,3,NA,7.5,9.5,1,1,1,0,NA,NA,NA,NA,NA,0,1.5,68.75,46.25,34.5,30,13.125,9.95,4.325,4.925,22537.5,18993,0.2105,59,48.75,39.3,NA
7342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7343,NA,NA,NA,NA,NA,NA,NA,7,6,5,NA,8,6.5,0,1,1,0,NA,NA,NA,NA,NA,0,1.5,62.75,49.5,35.5,35.5,11.675,10.275,5.775,7.8,25730.5,20800,0.3505,62,52.25,47,NA
7344,NA,NA,NA,NA,NA,NA,NA,6,4,3,NA,6.7,10.5,0,1,1,0,NA,NA,NA,NA,NA,0,1.5,65.75,46.75,37.25,34.25,9.825,8.1,4.95,4,23744.5,12054.5,0.1725,57.5,55,36.3,NA
7347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7351,NA,NA,NA,NA,NA,NA,NA,6,4,3,NA,6,9.3,0,0,1,0,NA,NA,NA,NA,NA,0,1.5,86.25,62.75,53.5,43.5,14.2,11.95,9.4,8.175,25500.5,9427.5,0.084,98.3,71,47.5,NA
7353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.25,74.3333,52.75,58.75,12,9.45,12,10.35,14422.5,12150.5,0.1035,NA,NA,NA,NA
7354,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.75,127.333,91.25,170.25,14.375,9.6,14.95,10.65,27234,12105.5,0.084,NA,NA,NA,NA
7372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.5,53.5,36,31.5,11.175,10.375,4.325,4.65,23954.5,15096,0.3145,NA,NA,NA,NA
7375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7378,NA,NA,NA,NA,NA,NA,NA,6,4,3,NA,7,13,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,72,58.5,51.75,54,14.05,13.3,9.075,12.525,22394.5,11741.5,0.222,76,76,87.8,NA
7384,NA,NA,NA,NA,NA,NA,NA,6,4,4.5,NA,10,11.3,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,81,87.5,76.75,129.5,17.3,13.575,17.675,13.075,22402.5,10601.5,0.0235,95.8,113,148,NA
7387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,34,29.5,21.25,13.175,6.75,4.575,3.925,20233.5,10013.5,0.2945,NA,NA,NA,NA
7411,NA,NA,NA,NA,NA,NA,NA,NA,4,4,NA,5.6,8.5,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,61.25,46,37,27.75,8.275,7.725,4.525,4.2,24013,14756.5,0.2875,64,50,38,NA
7421,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7424,NA,NA,NA,NA,NA,NA,NA,6,4,3,NA,6.3,4.3,0,1,1,1,NA,NA,NA,NA,NA,0,1.5,59.75,35.75,35,21.75,8.525,4.275,4.175,4.3,13178.5,17344,0.3795,43,30,26,NA
7427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,44,37.25,35.25,13.075,10.825,6.725,4.775,21193,12114,0.3145,NA,NA,NA,NA
7458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7514,0,NA,NA,NA,NA,NA,NA,5.5,3.5,3.5,4.4,9.35,7.55,0,0.5,0.75,0.5,NA,NA,NA,NA,1.22481,0,1.5,83.75,61.5,52.25,65.75,12,9.4,11.9,11.25,22514.5,12106,0.092,58,51.25,45.5,22.5
7516,0,2901,NA,NA,NA,1332.87,NA,5,4,3,5,10.2,9.5,0,1,0.75,0,7.35294,2,0,66.9643,1.11937,0,1.5,106.25,161.5,140.75,169.25,13.9,NA,13.25,NA,4710.5,4369,NA,100,167,270,32.5
7517,0,NA,100,45.625,29.4,1399.44,NA,5,4,3,5.3,10.5,11,0,1,0.75,1,NA,NA,NA,NA,1.05715,0,1.5,106.667,168.25,150,169.75,17.25,NA,14,NA,5756.5,4698.5,NA,107,159.667,207.5,41.3333
7518,0,3394,NA,NA,NA,1406,NA,5,4,3,5.2,10.5,9.1,0,0,1,1,0,0,0,1,1.15735,NA,NA,102.75,136.75,79,115.25,15.2,NA,16.45,12.675,9170,10698.5,NA,103,115.667,113.333,39
8213,0,9504,NA,NA,NA,NA,NA,5,3,2,5,6,8.5,0,1,0.5,1,NA,NA,NA,NA,1.31317,0,1.5,52,28.75,34,22,9.05,5.3,4.2,3.65,21474.5,13222,0.345,44,28.75,26,15
8222,NA,NA,NA,NA,NA,1284.84,NA,7,3,2,3,8,13.2,1,0,1,1,0,1,0,52.9412,NA,0,1.5,94,147,92.75,168.5,14.575,NA,14.375,10.775,8560.5,8841.5,0.0905,90,97.5,90,34.5
8230,NA,3049,NA,NA,NA,1321.72,164.219,7,3,2,3.85,7.5,11,0,0,0.5,0.5,2,2.90698,13.4615,25.6,1.19647,0,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97,77.75,216,47
8231,0,2212,NA,NA,NA,1936.69,NA,5,3,2,2,6.5,9.2,0,0,0.5,1,0,0,3.18471,90.9091,1.16084,0,1.5,92.5,127.5,75.25,110.5,15.275,9.15,15.225,12.6,23972.5,12641.5,NA,91,116,126,42
8237,NA,2388,NA,NA,NA,1447.04,168.63,7,3,4,0.7,6.6,NA,0,0,0.5,0,0,0,0,27.044,1.40161,0,1.5,93.25,140.5,98.5,170.75,13.525,NA,14.65,NA,21282,15440.5,0.1005,97,43,NA,32
8240,NA,3051,NA,NA,NA,1410.78,NA,7,3,2,2.3,7.5,11.2,0,0,0.5,0,0,0,0,3.84615,1.14794,0,1.5,102.75,139.5,105.75,168.75,10.8,8.85,13.1,NA,14992,5130.5,NA,93,122,250,42.6667
8241,0,3465,NA,NA,NA,1372.52,169.537,7,3,2,3.8,10,16,0,0,1,0,2.04082,2.72727,6.04027,85.0746,1.1504,0,1.5,83,64.25,61.5,51.3333,14.3,9.475,11.7,9.35,21080,11258.5,0.1065,73,66.75,43,37
8242,NA,3509,NA,NA,NA,1132.69,NA,5,3,2,3,7.6,8.8,0,0,0.5,1,0,0,19.5804,86.7347,NA,0,1.5,113,169,119.25,169.25,12.775,NA,14.75,NA,9504.5,8615.5,0.078,120,100,250,50
